state,total-pop,white-pop,black-pop,native-pop,asian-pop,hawaii-pop,other-race-pop,multi-race-pop,indian-pop,bangladeshi-pop,cambodian-pop,chinese-pop,filipino-pop,hmong-pop,indonesian-pop,japanese-pop,korean-pop,laotian-pop,malaysian-pop,pakistani-pop,sri-lankan-pop,taiwanese-pop,thai-pop,vietnamese-pop,other-asian-pop,other-not-specified-pop
Pennsylvania,12758729,10449680,1395718,22951,377735,3740,249147,259758,109453,3331,15459,92979,23599,1165,2671,7109,39875,2752,729,9136,962,2734,2782,43399,15161,4439
Rhode Island,1053252,856605,66827,4951,32994,536,61994,29345,4276,319,5323,7799,3015,690,54,706,1838,3564,49,644,17,280,466,1906,1680,368
South Carolina,4727273,3176381,1305347,15137,63199,2326,73984,90899,15100,552,2144,11596,10375,2021,114,2335,5825,973,30,834,173,662,1415,6633,1675,742
South Dakota,834708,712496,12642,72016,9433,229,7199,20693,1194,4,149,1877,1046,32,32,161,990,457,0,4,23,27,550,791,1916,180
Tennessee,6451365,5029109,1082001,17656,98441,3256,98240,122662,23842,800,1748,15974,10271,395,301,4227,10294,6606,355,2817,261,713,1415,12295,4546,1581
Texas,26092033,19499105,3094227,127236,1067008,21867,1662288,620302,284337,8927,13335,167159,112729,700,4396,19095,74600,13170,1679,53516,3643,11826,13784,231102,42093,10917
Utah,2858111,2515352,31163,31999,60631,26491,122012,70463,6937,169,2294,12585,6225,208,263,6486,6000,2358,77,724,27,682,1616,8222,4746,1012
Vermont,626358,595385,6435,2008,8200,214,1924,12192,1245,6,42,1889,688,0,182,270,830,228,7,135,0,87,179,1114,1178,120
Virginia,8185131,5668363,1577943,23421,475632,5485,179166,255121,113436,7353,7015,63132,71273,312,1795,10969,70829,3192,610,31081,1770,3063,7981,57789,17776,6256
Washington,6899123,5392302,250484,95117,518072,42608,261577,338963,72321,332,20733,101119,91250,1752,3297,36975,63219,10751,355,3726,614,5546,6329,72209,22753,4791
West Virginia,1853881,1735816,59129,3075,13144,645,5151,36921,2583,14,13,3266,2159,0,180,545,1252,48,13,275,63,135,277,1415,395,511
Wisconsin,5724692,4965198,357758,49563,137404,1303,92690,120776,25886,158,1213,19688,8382,49050,223,2414,8269,4711,311,2912,281,524,1238,5059,4217,2868
Wyoming,575251,522535,5958,13144,5377,332,12387,15518,769,3,36,986,1363,19,27,795,513,4,0,115,0,31,161,376,143,36
